predictor,auroc,auprc,brier,ece,top10_precision
confidence,0.830632742480675,0.5104245323781366,0.11756106693333333,0.009228933333333317,0.43533333333333335
entropy,0.830632742480675,0.5104245323781366,0.11756106693333333,0.009228933333333317,0.43533333333333335
margin,0.830632742480675,0.5104245323781366,0.11756106693333333,0.009228933333333317,0.43533333333333335
decision_maturity,0.7415521889641048,0.4458418891314465,0.1690437917972238,0.011255771435375506,0.49666666666666665
emr,0.6786480620576535,0.33795421205601467,0.16662582120533334,0.00966655999999999,0.164
reversal_harm,0.5535046647454893,0.2631613019546916,0.15226390077346408,0.009919382851662646,0.14
