predictor,n_high_confidence,high_confidence_reversal_rate,auroc_within_high_confidence,auprc_within_high_confidence,top10_precision_within_high_confidence
reversal_harm,6221,0.032952901462787336,0.7084449597820446,0.06668332285908685,0.07877813504823152
decision_maturity,6221,0.032952901462787336,0.7083995524130773,0.06661346167237371,0.07877813504823152
emr,6221,0.032952901462787336,0.7078145271146861,0.06657544785842241,0.09003215434083602
confidence,6221,0.032952901462787336,0.66077776336274,0.05737874808750405,0.05466237942122187
entropy,6221,0.032952901462787336,0.66077776336274,0.05737874808750405,0.05466237942122187
margin,6221,0.032952901462787336,0.66077776336274,0.05737874808750405,0.05466237942122187
